ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ICF:0000154	SUIT-2 cell	Suit-2| SUIT 2| SUIT2| Suit2| SUIzo Tumor-2|SUIT-2	SUIT-2 cell	RRID: CVCL_3172|CLO:0037114	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the liver of subjects with pancreatic ductal adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('liver' and ('part of' some ('Homo sapiens' and ('has disease' some 'pancreatic ductal adenocarcinoma'))))))	Homo sapiens	epithelial cell	liver	pancreatic ductal adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('liver' and ('part of' some ('Homo sapiens' and ('has disease' some 'pancreatic ductal adenocarcinoma'))))))
ICF:0000155	KP-3 cell	KP-3|KP3	KP3 cell	RRID: CVCL_3005|CLO:0037108	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the liver of subjects with pancreatic squamous cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('liver' and ('part of' some ('Homo sapiens' and ('has disease' some 'pancreatic squamous cell carcinoma'))))))	Homo sapiens	epithelial cell	liver	pancreatic squamous cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('liver' and ('part of' some ('Homo sapiens' and ('has disease' some 'pancreatic squamous cell carcinoma'))))))
ICF:0000156	22RV1 cell	22RV1	22Rv1 cell	RRID:CVCL_1045|CLO:0001199	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the prostate gland of subjects with prostate carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('prostate gland' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))	Homo sapiens	epithelial cell	prostate gland	prostate carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('prostate gland' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))
ICF:0000157	DU 145 cell	DU-145| Du-145| DU 145| DU_145| DU.145| Duke University 145| RCB2143	DU145 cell	RRID:CVCL_0105|CLO:0002840	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the brain of subjects with prostate carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('brain' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))	Homo sapiens	epithelial cell	brain	prostate carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('brain' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))
ICF:0000158	LNCAP cell	LNCAP| LNCap| Ln-Cap| LNCaP-RPCI| Lymph Node Carcinoma of the prostate	LNCaP cell	RRID:CVCL_0395|CLO:0007365	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the lymph node of subjects with prostate carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))	Homo sapiens	epithelial cell	lymph node	prostate carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))
ICF:0000159	MDA PCa 2b cell	MDA PCa 2b| MDAPCa-2b| MDAPCa2b| MDAPCA2B| MDAPC2B| MDA2B| M.D. Anderson-Prostate Cancer-2b	MDA-PCa-2b cell	RRID:CVCL_4748|CLO:0007629	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the bone of subjects with prostate carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('bone' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))	Homo sapiens	epithelial cell	bone element	prostate carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('bone element' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))
ICF:0000160	PC-3 cell	PC.3|PC-3|PC3	PC-3 cell	RRID:CVCL_0035|CLO:0008395	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the bone of subjects with prostate carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('bone' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))	Homo sapiens	epithelial cell	bone element	prostate carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('bone element' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate carcinoma'))))))
ICF:0000161	NCI-H660 cell	H660| H-660| NCIH660| NCI660|NCI-H660	NCI-H660 cell	RRID:CVCL_1576|CLO:0008102	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the lymph node of subjects with prostate small cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate small cell carcinoma'))))))	Homo sapiens	epithelial cell	lymph node	prostate small cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'prostate small cell carcinoma'))))))
ICF:0000162	SW 1463 cell	SW-1463| SW 1463	SW1463 cell	RRID:CVCL_1718|CLO:0009188	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the rectum of subjects with rectum adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('rectum' and ('part of' some ('Homo sapiens' and ('has disease' some 'rectum adenocarcinoma'))))))	Homo sapiens	epithelial cell	rectum	rectum adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('rectum' and ('part of' some ('Homo sapiens' and ('has disease' some 'rectum adenocarcinoma'))))))
ICF:0000163	A498 cell	A498	A-498 cell	RRID:CVCL_1056|CLO:0009974	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the kidney of subjects with renal cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'renal cell carcinoma'))))))	Homo sapiens	epithelial cell	kidney	renal cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'renal cell carcinoma'))))))
ICF:0000164	RCB1151 cell	RCB1151|RCC10RGB|RCC-10RGB| RCC10 RGB| 10RGB| RGB| Hpt.10	RCC10RGB cell	RRID:CVCL_1647|CLO:0050890	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the kidney of subjects with renal cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'renal cell carcinoma'))))))	Homo sapiens	epithelial cell	kidney	renal cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'renal cell carcinoma'))))))
ICF:0000165	RCB1963 cell	RCB1963|VMRC-RCW|VMRCRCW| Thomas Wirts| Virginia Mason Research Center-Renal Cancer W	VMRC-RCW cell	RRID:CVCL_1790|CLO:0050893	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the kidney of subjects with renal cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'renal cell carcinoma'))))))	Homo sapiens	epithelial cell	kidney	renal cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'renal cell carcinoma'))))))
