ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ICF:0000196	immortal gastric adenocarcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with gastric adenocarcinoma.					gastric adenocarcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'gastric adenocarcinoma'))))
ICF:0000197	immortal ovary serous adenocarcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with ovary serous adenocarcinoma.					ovary serous adenocarcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'ovary serous adenocarcinoma'))))
ICF:0000198	immortal lung squamous cell carcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with lung squamous cell carcinoma.					lung squamous cell carcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'lung squamous cell carcinoma'))))
ICF:0000199	immortal prostate carcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with prostate carcinoma.					prostate carcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'prostate carcinoma'))))
ICF:0000200	immortal lymph node specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a lymph node specimen.				lymph node		'derives from' some ('cell' and ('part of' some 'lymph node'))
ICF:0000201	immortal kidney specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a kidney specimen.				kidney		'derives from' some ('cell' and ('part of' some 'kidney'))
ICF:0000202	immortal bone marrow specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a bone marrow specimen.				bone marrow		'derives from' some ('cell' and ('part of' some 'bone marrow'))
ICF:0000203	immortal ascitic fluid specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a ascitic fluid specimen.				ascitic fluid		'derives from' some ('cell' and ('part of' some 'ascitic fluid'))
ICF:0000204	immortal liver specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a liver specimen.				liver		'derives from' some ('cell' and ('part of' some 'liver'))
ICF:0000205	immortal pancreas specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a pancreas specimen.				pancreas		'derives from' some ('cell' and ('part of' some 'pancreas'))
ICF:0000206	immortal ovary specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a ovary specimen.				ovary		'derives from' some ('cell' and ('part of' some 'ovary'))
ICF:0000207	immortal human melanocyte cell line cell				equivalent	immortal melanocyte cell line cell	An immortal melanocyte cell line cell derived from a human.		Homo sapiens				'derives from' some ('cell' and ('part of' some 'Homo sapiens'))
